phase,scheduler,n_ues,spatial,traffic,n_runs,cell_throughput_mbps_mean,cell_throughput_mbps_std,cell_throughput_mbps_ci95_lo,cell_throughput_mbps_ci95_hi,jain_index_mean,jain_index_std,jain_index_ci95_lo,jain_index_ci95_hi,mean_delay_ms_mean,mean_delay_ms_std,mean_delay_ms_ci95_lo,mean_delay_ms_ci95_hi,plr_mean,plr_std,plr_ci95_lo,plr_ci95_hi
phase3_group_b,tta,10,clustered,heterogeneous,20,12.89133,0.973085,12.435912,13.346748,0.532887,0.084948,0.49313,0.572644,3.35448,0.026848,3.341915,3.367045,0.007229,0.001491,0.006531,0.007927
phase3_group_b,tta,10,uniform,heterogeneous,20,9.99267,1.751914,9.172749,10.812591,0.637888,0.079788,0.600546,0.67523,3.324225,0.019844,3.314938,3.333512,0.011885,0.004389,0.009831,0.013939
phase3_group_b,tta,20,clustered,heterogeneous,20,13.033375,0.702557,12.704568,13.362182,0.526989,0.038297,0.509065,0.544912,3.490395,0.02535,3.478531,3.502259,0.00982,0.001282,0.009221,0.01042
phase3_group_b,tta,20,uniform,heterogeneous,20,9.435015,1.335971,8.809761,10.060269,0.624253,0.069299,0.59182,0.656686,3.433285,0.026537,3.420865,3.445705,0.016679,0.004476,0.014584,0.018774
phase3_group_b,tta,40,clustered,heterogeneous,20,12.35854,0.466198,12.140353,12.576727,0.593932,0.030892,0.579474,0.608389,3.70953,0.026265,3.697237,3.721823,0.013744,0.001568,0.01301,0.014478
phase3_group_b,tta,40,uniform,heterogeneous,20,8.49152,1.11776,7.968392,9.014648,0.707324,0.05476,0.681695,0.732952,3.642245,0.029917,3.628243,3.656247,0.026363,0.004314,0.024344,0.028382
phase4_extent_a,cqa,10,clustered,homogeneous,20,7.502045,0.414962,7.307837,7.696253,0.999618,0.000215,0.999517,0.999719,3.325545,0.026274,3.313248,3.337842,0.009198,0.002173,0.008182,0.010215
phase4_extent_a,cqa,10,uniform,homogeneous,20,5.764795,1.008678,5.292719,6.236871,0.999569,0.000167,0.999491,0.999648,3.30319,0.016108,3.295651,3.310729,0.015162,0.005593,0.012544,0.01778
phase4_extent_a,cqa,20,clustered,homogeneous,20,7.01749,0.302348,6.875987,7.158993,0.998929,0.000261,0.998807,0.999052,3.40092,0.026406,3.388562,3.413278,0.011416,0.001596,0.010669,0.012163
phase4_extent_a,cqa,20,uniform,homogeneous,20,5.305305,0.600995,5.024031,5.586579,0.999297,0.000262,0.999174,0.999419,3.38659,0.016637,3.378804,3.394376,0.017012,0.003919,0.015178,0.018846
phase4_extent_a,cqa,40,clustered,homogeneous,20,6.94877,0.22811,6.842011,7.055529,0.996829,0.000308,0.996684,0.996973,3.54497,0.021731,3.5348,3.55514,0.011522,0.001393,0.01087,0.012174
phase4_extent_a,cqa,40,uniform,homogeneous,20,5.046345,0.410097,4.854414,5.238276,0.998246,0.000415,0.998051,0.99844,3.5353,0.02345,3.524325,3.546275,0.018654,0.002563,0.017455,0.019854
phase4_extent_b,cqa,10,clustered,heterogeneous,20,6.017315,0.277961,5.887225,6.147405,0.438599,0.005262,0.436136,0.441061,3.35338,0.041367,3.334019,3.372741,0.008333,0.002409,0.007206,0.009461
phase4_extent_b,cqa,10,uniform,heterogeneous,20,5.37401,1.044053,4.885378,5.862642,0.446882,0.021966,0.436601,0.457162,3.347775,0.034327,3.331709,3.363841,0.013779,0.006899,0.01055,0.017008
phase4_extent_b,cqa,20,clustered,heterogeneous,20,7.61269,0.524651,7.367146,7.858234,0.403349,0.003953,0.401499,0.405199,3.40781,0.028232,3.394597,3.421023,0.009667,0.002349,0.008568,0.010767
phase4_extent_b,cqa,20,uniform,heterogeneous,20,6.217285,1.291768,5.612719,6.821851,0.41917,0.014726,0.412277,0.426062,3.40496,0.023165,3.394119,3.415801,0.015246,0.005886,0.012491,0.018
phase4_extent_b,cqa,40,clustered,heterogeneous,20,8.72591,0.38019,8.547975,8.903845,0.439234,0.004223,0.437257,0.44121,3.50839,0.017338,3.500276,3.516504,0.010768,0.001617,0.010012,0.011525
phase4_extent_b,cqa,40,uniform,heterogeneous,20,6.194025,1.025652,5.714005,6.674045,0.48316,0.02167,0.473019,0.493302,3.49685,0.025295,3.485011,3.508689,0.019508,0.00375,0.017753,0.021263
