phase,scheduler,n_ues,spatial,traffic,run_id,cell_throughput_mbps,jain_index,mean_delay_ms,plr,n_ues_active,n_ues_total
phase2_group_a,mlwdf,10,clustered,homogeneous,6,18.7631,0.729074,3.2545,0.002511,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,7,18.6326,0.723391,3.2801,0.002503,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,8,18.6034,0.697697,3.2423,0.00254,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,9,18.0589,0.724909,3.2739,0.002249,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,10,20.0445,0.748068,3.2791,0.001784,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,11,19.1423,0.756028,3.2943,0.001885,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,12,19.5929,0.727163,3.2233,0.00171,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,13,18.5575,0.74236,3.2726,0.002131,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,14,19.9577,0.745045,3.2725,0.002006,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,15,19.6295,0.748844,3.2914,0.001679,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,16,19.5044,0.747229,3.2829,0.001918,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,17,18.1851,0.740118,3.254,0.001848,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,18,20.3703,0.744961,3.2706,0.002102,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,19,20.5604,0.735896,3.1887,0.002483,10,10
phase2_group_a,mlwdf,10,clustered,homogeneous,20,19.5801,0.715179,3.2382,0.002342,10,10
phase2_group_a,mlwdf,20,clustered,homogeneous,1,18.645,0.759077,3.2745,0.00284,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,2,19.5892,0.750458,3.2776,0.002055,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,3,18.3656,0.736016,3.2721,0.002426,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,4,19.4069,0.739062,3.2333,0.002347,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,5,20.1556,0.746674,3.227,0.002254,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,6,19.0201,0.744033,3.2476,0.002276,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,7,19.4321,0.737294,3.2644,0.002185,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,8,19.1617,0.731285,3.2354,0.002702,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,9,19.405,0.73943,3.2624,0.002335,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,10,20.2153,0.758983,3.25,0.001733,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,11,19.0614,0.76606,3.2834,0.002205,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,12,19.8342,0.759359,3.2432,0.001479,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,13,18.5504,0.741759,3.2644,0.002623,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,14,19.6971,0.736384,3.2888,0.002769,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,15,19.4102,0.741275,3.2639,0.002069,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,16,20.3136,0.752182,3.2688,0.00225,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,17,18.1125,0.740457,3.2523,0.002571,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,18,19.4023,0.760058,3.2672,0.002221,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,19,19.7494,0.768381,3.2193,0.002158,20,20
phase2_group_a,mlwdf,20,clustered,homogeneous,20,19.6372,0.738492,3.2532,0.002913,20,20
phase2_group_a,mlwdf,40,clustered,homogeneous,1,20.2769,0.770955,3.2444,0.002349,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,2,20.207,0.768569,3.2586,0.001969,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,3,19.3281,0.751334,3.26,0.002436,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,4,19.8169,0.769334,3.2401,0.002458,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,5,20.736,0.773371,3.2266,0.00213,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,6,20.0194,0.757305,3.232,0.002248,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,7,20.3581,0.764524,3.2466,0.002062,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,8,20.7096,0.775505,3.2504,0.001925,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,9,20.8376,0.768668,3.2391,0.002475,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,10,20.7018,0.766474,3.2472,0.001966,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,11,19.8254,0.76609,3.2438,0.002253,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,12,20.7639,0.783093,3.2345,0.002117,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,13,20.1228,0.759489,3.2391,0.002044,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,14,19.9756,0.749946,3.2501,0.002031,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,15,20.3954,0.772486,3.2549,0.002146,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,16,20.6943,0.766417,3.2365,0.002066,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,17,19.9463,0.774837,3.257,0.002021,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,18,20.1832,0.76013,3.2452,0.002485,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,19,20.7471,0.77807,3.2217,0.001908,40,40
phase2_group_a,mlwdf,40,clustered,homogeneous,20,20.1978,0.751959,3.2523,0.002328,40,40
phase2_group_a,mlwdf,10,uniform,homogeneous,1,12.987,0.716144,3.2227,0.00414,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,2,16.4528,0.754825,3.2614,0.003518,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,3,12.671,0.783624,3.2084,0.003797,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,4,12.0432,0.729012,3.2209,0.004351,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,5,11.6945,0.740259,3.2321,0.004779,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,6,14.5077,0.733549,3.2349,0.003312,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,7,19.3393,0.769354,3.2237,0.001331,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,8,12.4381,0.855562,3.1816,0.003597,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,9,14.392,0.657617,3.2544,0.003454,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,10,18.9061,0.731356,3.2576,0.002874,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,11,13.5224,0.758154,3.2347,0.002534,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,12,13.8879,0.775085,3.218,0.003133,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,13,11.9826,0.680945,3.2194,0.006073,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,14,17.4208,0.677901,3.2531,0.003351,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,15,13.49,0.871749,3.2078,0.002446,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,16,16.2493,0.752338,3.2116,0.002333,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,17,11.727,0.646618,3.2265,0.004691,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,18,11.1068,0.823024,3.1926,0.004705,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,19,12.2297,0.730564,3.2171,0.006167,10,10
phase2_group_a,mlwdf,10,uniform,homogeneous,20,14.1626,0.805861,3.2147,0.002289,10,10
phase2_group_a,mlwdf,20,uniform,homogeneous,1,12.7432,0.750825,3.2041,0.004503,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,2,16.223,0.755244,3.2249,0.002849,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,3,17.0854,0.745502,3.2203,0.002797,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,4,12.2515,0.823683,3.1865,0.003194,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,5,11.3142,0.816805,3.1781,0.004154,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,6,16.5765,0.747685,3.2541,0.002791,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,7,16.6473,0.748177,3.2045,0.002712,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,8,14.1956,0.773061,3.196,0.003296,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,9,13.0397,0.718919,3.2128,0.004125,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,10,16.6263,0.732948,3.2236,0.003307,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,11,13.8672,0.737608,3.2123,0.003521,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,12,12.3205,0.747802,3.1905,0.004698,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,13,12.3841,0.75087,3.1904,0.004528,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,14,14.3086,0.655511,3.2317,0.003984,20,20
